Series Name,Date,Value,Unit
Exports of Services,2018-02-28,503,Million USD
Exports of Services,2018-03-31,483,Million USD
Exports of Services,2018-04-30,442,Million USD
Exports of Services,2018-05-31,506,Million USD
Exports of Services,2018-06-30,509,Million USD
Exports of Services,2018-07-31,477,Million USD
Exports of Services,2018-08-31,499,Million USD
Exports of Services,2018-09-30,495,Million USD
Exports of Services,2018-10-31,508,Million USD
Exports of Services,2018-11-30,478,Million USD
Exports of Services,2018-12-31,563,Million USD
Exports of Services,2019-01-31,519,Million USD
Exports of Services,2019-02-28,485,Million USD
Exports of Services,2019-03-31,542,Million USD
Exports of Services,2019-04-30,486,Million USD
Exports of Services,2019-05-31,468,Million USD
Exports of Services,2019-06-30,446,Million USD
Exports of Services,2019-07-31,485,Million USD
Exports of Services,2019-08-31,430,Million USD
Exports of Services,2019-09-30,427,Million USD
Exports of Services,2019-10-31,546,Million USD
Exports of Services,2019-11-30,464,Million USD
Exports of Services,2019-12-31,572,Million USD
Exports of Services,2020-01-31,524,Million USD
Exports of Services,2020-02-29,469,Million USD
Exports of Services,2020-03-31,428,Million USD
Exports of Services,2020-04-30,354,Million USD
Exports of Services,2020-05-31,361,Million USD
Exports of Services,2020-06-30,377,Million USD
Exports of Services,2020-07-31,456,Million USD
Exports of Services,2020-08-31,350,Million USD
Exports of Services,2020-09-30,483,Million USD
Exports of Services,2020-10-31,440,Million USD
Exports of Services,2020-11-30,514,Million USD
Exports of Services,2020-12-31,636,Million USD
Exports of Services,2021-01-31,484,Million USD
Exports of Services,2021-02-28,485,Million USD
Exports of Services,2021-03-31,556,Million USD
Exports of Services,2021-04-30,493,Million USD
Exports of Services,2021-05-31,470,Million USD
Exports of Services,2021-06-30,578,Million USD
Exports of Services,2021-07-31,495,Million USD
Exports of Services,2021-08-31,557,Million USD
Exports of Services,2021-09-30,581,Million USD
Exports of Services,2021-10-31,564,Million USD
Exports of Services,2021-11-30,582,Million USD
Exports of Services,2021-12-31,699,Million USD
Exports of Services,2022-01-31,529,Million USD
Exports of Services,2022-02-28,560,Million USD
Exports of Services,2022-03-31,711,Million USD
Exports of Services,2022-04-30,645,Million USD
Exports of Services,2022-05-31,515,Million USD
Exports of Services,2022-06-30,664,Million USD
Exports of Services,2022-07-31,546,Million USD
Exports of Services,2022-08-31,606,Million USD
Exports of Services,2022-09-30,565,Million USD
Exports of Services,2022-10-31,622,Million USD
Exports of Services,2022-11-30,751,Million USD
Exports of Services,2022-12-31,780,Million USD
Exports of Services,2023-01-31,686,Million USD
Exports of Services,2023-02-28,591,Million USD
Exports of Services,2023-03-31,666,Million USD
Exports of Services,2023-04-30,554,Million USD
Exports of Services,2023-05-31,638,Million USD
Exports of Services,2023-06-30,591,Million USD
Exports of Services,2023-07-31,526,Million USD
Exports of Services,2023-08-31,621,Million USD
Exports of Services,2023-09-30,554,Million USD
Exports of Services,2023-10-31,607,Million USD
Exports of Services,2023-11-30,630,Million USD
Exports of Services,2023-12-31,742,Million USD
Exports of Services,2024-01-31,676,Million USD
Exports of Services,2024-02-29,620,Million USD
Exports of Services,2024-03-31,709,Million USD
Exports of Services,2024-04-30,656,Million USD
Exports of Services,2024-05-31,705,Million USD
Exports of Services,2024-06-30,645,Million USD
Exports of Services,2024-07-31,632,Million USD
Exports of Services,2024-08-31,621,Million USD
Exports of Services,2024-09-30,662,Million USD
Exports of Services,2024-10-31,702,Million USD
Exports of Services,2024-11-30,667,Million USD
Exports of Services,2024-12-31,807,Million USD
Exports of Services,2025-01-31,674,Million USD
Exports of Services,2025-02-28,695,Million USD
Exports of Services,2025-03-31,775,Million USD
Exports of Services,2025-04-30,751,Million USD
Exports of Services,2025-05-31,724,Million USD
Exports of Services,2025-06-30,698,Million USD
Exports of Services,2025-07-31,724,Million USD
Exports of Services,2025-08-31,677,Million USD
Exports of Services,2025-09-30,797,Million USD
