Date,Series_Name,Value,Unit
2003-04-30,Nominal Effective Exchange Rate Base 2010,169.66,Index
2003-05-31,REER : Percentage Change over Month,-2.756054903,Percent
2003-05-31,NEER : Percentage Change over  Month,-2.563951432,Percent
2003-05-31,Real Effective Exchange Rate Base 2010,94.63769263,Index
2003-05-31,Nominal Effective Exchange Rate Base 2010,165.31,Index
2003-06-30,REER : Percentage Change over Month,-0.581516584,Percent
2003-06-30,NEER : Percentage Change over  Month,-0.544431674,Percent
2003-06-30,Real Effective Exchange Rate Base 2010,94.08735875,Index
2003-06-30,Nominal Effective Exchange Rate Base 2010,164.41,Index
2003-07-31,Nominal Effective Exchange Rate Base 2010,165.7,Index
2003-07-31,Real Effective Exchange Rate Base 2010,95.41490579,Index
2003-07-31,REER : Percentage Change over Month,1.410972801,Percent
2003-07-31,NEER : Percentage Change over  Month,0.784623806,Percent
2003-08-31,REER : Percentage Change over Month,0.974479808,Percent
2003-08-31,NEER : Percentage Change over  Month,0.633675317,Percent
2003-08-31,Real Effective Exchange Rate Base 2010,96.34470479,Index
2003-08-31,Nominal Effective Exchange Rate Base 2010,166.75,Index
2003-09-30,REER : Percentage Change over Month,-0.574493616,Percent
2003-09-30,NEER : Percentage Change over  Month,-0.749625187,Percent
2003-09-30,Real Effective Exchange Rate Base 2010,95.79121061,Index
2003-09-30,Nominal Effective Exchange Rate Base 2010,165.5,Index
2003-10-31,REER : Percentage Change over Month,-0.348203293,Percent
2003-10-31,NEER : Percentage Change over  Month,-1.570996979,Percent
2003-10-31,Real Effective Exchange Rate Base 2010,95.45766246,Index
2003-10-31,Nominal Effective Exchange Rate Base 2010,162.9,Index
2003-11-30,Nominal Effective Exchange Rate Base 2010,163.73,Index
2003-11-30,Real Effective Exchange Rate Base 2010,96.40698851,Index
2003-11-30,NEER : Percentage Change over  Month,0.50951504,Percent
2003-11-30,REER : Percentage Change over Month,0.994499582,Percent
2003-12-31,Nominal Effective Exchange Rate Base 2010,161.22,Index
2003-12-31,REER : Percentage Change over Month,-0.863325351,Percent
2003-12-31,NEER : Percentage Change over  Month,-1.533011666,Percent
2003-12-31,Real Effective Exchange Rate Base 2010,95.57468254,Index
2004-01-31,REER : Percentage Change over Month,-2.030017721,Percent
2004-01-31,NEER : Percentage Change over  Month,-1.693338295,Percent
2004-01-31,Real Effective Exchange Rate Base 2010,93.63449955,Index
2004-01-31,Nominal Effective Exchange Rate Base 2010,158.49,Index
2004-02-29,REER : Percentage Change over Month,-0.84966462,Percent
2004-02-29,NEER : Percentage Change over  Month,-0.2586914,Percent
2004-02-29,Real Effective Exchange Rate Base 2010,92.83892033,Index
2004-02-29,Nominal Effective Exchange Rate Base 2010,158.08,Index
2004-03-31,REER : Percentage Change over Month,1.877565718,Percent
2004-03-31,NEER : Percentage Change over  Month,1.284159919,Percent
2004-03-31,Real Effective Exchange Rate Base 2010,94.58203207,Index
2004-03-31,Nominal Effective Exchange Rate Base 2010,160.11,Index
2004-04-30,Nominal Effective Exchange Rate Base 2010,160.61,Index
