Date,Series_Name,Value,Unit
2011-07-31,Freight & Insurance,192115.8447,Thousand USD
2011-08-31,Freight & Insurance,216593.2157,Thousand USD
2011-09-30,Freight & Insurance,208416.521,Thousand USD
2011-10-31,Freight & Insurance,190285.7003,Thousand USD
2011-11-30,Freight & Insurance,182830.8662,Thousand USD
2011-12-31,Freight & Insurance,189513.71,Thousand USD
2012-01-31,Freight & Insurance,202654.6856,Thousand USD
2012-02-29,Freight & Insurance,215712.4043,Thousand USD
2012-03-31,Freight & Insurance,175857.6859,Thousand USD
2012-04-30,Freight & Insurance,193245.7556,Thousand USD
2012-05-31,Freight & Insurance,201380.7117,Thousand USD
2012-06-30,Freight & Insurance,209151.8717,Thousand USD
2012-07-31,Freight & Insurance,203416.1715,Thousand USD
2012-08-31,Freight & Insurance,187997.844,Thousand USD
2012-09-30,Freight & Insurance,182151.0409,Thousand USD
2012-10-31,Freight & Insurance,217184.7906,Thousand USD
2012-11-30,Freight & Insurance,199211.984,Thousand USD
2012-12-31,Freight & Insurance,184923.0624,Thousand USD
2013-01-31,Freight & Insurance,203192.5857,Thousand USD
2013-02-28,Freight & Insurance,185900.0404,Thousand USD
2013-03-31,Freight & Insurance,200103.8449,Thousand USD
2013-04-30,Freight & Insurance,194675.7134,Thousand USD
2013-05-31,Freight & Insurance,205242.0392,Thousand USD
2013-06-30,Freight & Insurance,195271.4028,Thousand USD
2013-07-31,Freight & Insurance,213241.9209,Thousand USD
2013-08-31,Freight & Insurance,204226.4263,Thousand USD
2013-09-30,Freight & Insurance,227515.172,Thousand USD
2013-10-31,Freight & Insurance,218545.1515,Thousand USD
2013-11-30,Freight & Insurance,190307.7762,Thousand USD
2013-12-31,Freight & Insurance,213744.204,Thousand USD
2014-01-31,Freight & Insurance,220401.3259,Thousand USD
2014-02-28,Freight & Insurance,189541.8189,Thousand USD
2014-03-31,Freight & Insurance,202504.9864,Thousand USD
2014-04-30,Freight & Insurance,203184.1066,Thousand USD
2014-05-31,Freight & Insurance,216887.1997,Thousand USD
2014-06-30,Freight & Insurance,207192.6329,Thousand USD
2014-07-31,Freight & Insurance,237043.98,Thousand USD
2014-08-31,Freight & Insurance,240214.686,Thousand USD
2014-09-30,Freight & Insurance,247148.13,Thousand USD
2014-10-31,Freight & Insurance,221179.8,Thousand USD
2014-11-30,Freight & Insurance,188796.6,Thousand USD
2014-12-31,Freight & Insurance,199695.39,Thousand USD
2015-01-31,Freight & Insurance,183442.8,Thousand USD
2015-02-28,Freight & Insurance,173008.5,Thousand USD
2015-03-31,Freight & Insurance,189123.168,Thousand USD
2015-04-30,Freight & Insurance,185619.276,Thousand USD
2015-05-31,Freight & Insurance,204093.618,Thousand USD
2015-06-30,Freight & Insurance,219797.352,Thousand USD
2015-07-31,Freight & Insurance,121232.5616,Thousand USD
2015-08-31,Freight & Insurance,111974.2855,Thousand USD
