Name of Grid Station,Voltage (kv),Power T/F capacity (MVA),Maximum Load on Incoming (Amp),Name of Outgoing 11Kv,2011,2012,2013,2014,2015,Maxi Recorded amp  Overall,Maxi Recorded amp (Dated &time),Osprey,Dog,Rabbit,Gopher,Total,Commercial: No,Commercial: Load(KW),Industrial: No,Industrial: Load(KW), T/Well No,T/Well Load(KW),Others No,Others Load(KW),Total No.,Total Load (KW),%age Losses Technical (2013),%age Losses Administrative (2013),%age Losses  As Per Output 2013,25,50,100,200,400,630,25 (KVA),50 (KVA),100 (KVA),200 (KVA),400 (KVA),630 (KVA),Total KVA  Connected
Chaint,132 KV,T-1 (10/13),115,Balavera,---,85,25,25,50,85,23/8/2012 (9:00:00 PM),_,_,108,_,108,10,36,0,0,0,0,0,0,1903,2168,2,10.6,12.6,75,41,3,0,0,0,1875,2050,300,0,0,0,4225
Murree,132 KV,T-1 (20/26),960,P.Point,70,75,80,150,70,150,7/6/2014 (8:00:00 PM),_,_,84.16,_,84,251,814,28,271,0,0,0,0,3272,6018,1,14,15,14,15,23,6,0,0,350,750,2300,1200,0,0,4600
Murree,132 KV,T-1 (20/26),960,Barrian,70,70,70,80,70,80,1/8/2014 (8:00:00 PM),_,_,34.1,_,34,148,296,0,0,1,34,7,602,2904,4441,11,9.4,20.4,6,6,23,8,0,0,150,300,2300,1600,0,0,4350
Murree,132 KV,T-1 (20/26),960,P.Health,100,80,90,80,80,100,21/6/2011 (7:00:00 AM),_,13.2,_,_,13,0,0,0,0,2,1314,0,0,2,1314,3,(-)0.3,2.7,0,0,0,14,0,0,0,0,0,2800,0,0,2800
Murree,132 KV,T-1 (20/26),960,Gharrial,160,170,180,160,170,180,5/7/2013 (8:00:00 PM),_,27,_,_,27,504,1036,1,69,0,24,6,653,9253,11665,11,16.7,27.7,14,48,25,2,0,0,350,2400,2500,400,0,0,5650
Murree,132 KV,T-1 (20/26),960,P.A.F,10,10,10,10,10,10,1/8/2015 (8:00:00 PM),_,28,10.1,_,38,0,0,0,0,0,0,2,563,2,563,3,(-)0.3,2.7,0,1,4,0,0,2,0,50,400,0,0,1260,1710
Murree,132 KV,T-1 (20/26),960,Upper Topa,60,50,60,50,60,60,11/8/2015 (8:00:00 PM),_,_,76.9,_,77,153,549,3,368,0,0,0,0,2587,3810,6,3.4,9.4,0,35,4,4,0,0,0,1750,400,800,0,0,2950
Murree,132 KV,T-1 (20/26),960,Lora,250,270,270,120,130,270,8/8/2015 (8:00:00 PM),_,32,15,_,47,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
Murree,132 KV,T-1 (20/26),960,Patriata,210,160,200,160,180,210,30/8/2011 (8:00:00 PM),_,23,12,_,35,471,1139,2,34,0,0,3,12,10076,12887,0,12,12,68,53,6,2,1,0,1700,2650,600,400,400,0,5750
Murree,132 KV,T-1 (20/26),960,Camp.bagh,130,140,120,150,140,150,10/7/2014 (9:00:00 PM),_,_,78.15,_,78,381,801,103,988,0,0,9,571,5091,8816,10,(-)23.4,(-)13.2,27,47,28,5,0,0,675,2350,2800,1000,0,0,6825
Murree,132 KV,T-1 (20/26),960,Cecial,10,10,10,10,10,10,24/8/2015 (9:00:00 PM),_,21,17,_,38,709,29,0,0,0,0,0,0,1623,709,2,10.6,12.6,0,0,6,6,0,0,0,0,600,1200,0,0,1800
Murree,132 KV,T-1 (20/26),960,Lora-2,---,---,120,170,170,170,5/7/2015 (9:00:00 PM),_,23,15,_,38,_,_,_,_,_,_,_,_,_,_,3,2,5,_,_,_,_,_,_,_,_,_,_,_,_,_
Murree,132 KV,T-1 (20/26),960,MCM,---,---,---,---,10,10,16/8/2015 (9:00:00 PM),_,15,24,_,39,0,0,0,0,0,0,1,148,1,148,0,0,0,0,4,1,0,0,0,0,200,100,0,0,0,300
Murree,132 KV,T-2 (20/26),430,Kohalla,140,140,150,160,150,160,28/7/2014 (10:00:00 PM),_,18,27,_,45,544,1089,3,189,0,0,4,636,8727,11514,6,5.2,11.2,27,13,26,3,0,0,675,650,2600,600,0,0,4525
Murree,132 KV,T-2 (20/26),430,Kuldana,200,140,190,170,200,200,11/8/2015 (8:00:00 PM),_,13,23,_,36,1037,4554,1,14,0,0,8,685,5437,12317,2.5,14.1,16.6,38,20,30,34,2,0,950,1000,3000,6800,800,0,12550
Murree,132 KV,T-2 (20/26),430,P.C,30,40,30,30,30,40,9/7/2012 (7:00:00 PM),_,21,15,_,36,3,1163,0,0,0,0,0,0,3,1163,1,0.6,1.6,0,0,0,0,2,0,0,0,0,0,1260,1260,_
Murree,132 KV,T-2 (20/26),430,S/Bank,150,150,140,110,120,150,27/6/2011 (7:00:00 PM),_,18,23,_,41,831,2145,18,121,0,0,11,2397,2768,7770,_,_,_,18,16,28,27,1,1,450,800,2800,5400,400,630,10480
B.Gowa,132 KV,T-1 (10/13),635,Bugowal,125,200,190,180,220,220,19/6/2015 (4:00:00 PM),0,20,79,1,100,_,396,_,110,_,135,_,0,_,9542,12.2,13.07,25.2,43,69,10,4,-,-,1075,3450,1000,800,-,-,6505
B.Gowa,132 KV,T-1 (10/13),635,Hasnot,50,60,65,80,60,80,13/7/2014 (3:00:00 PM),0,4,43,0,47,_,290,_,80,_,110,_,0,_,3386,6.4,4.6,11,13,24,8,0,-,-,325,1200,800,-,-,-,2430
B.Gowa,132 KV,T-1 (10/13),635,Phadyal,75,90,100,120,110,120,13/7/2014 (3:00:00 PM),0,5,66,0,71,_,412,_,125,_,140,_,0,_,6847,7.5,6,13.5,44,66,6,1,-,-,1100,3300,600,200,-,-,5400
B.Gowa,132 KV,T-2 (10/13),260,Domeli,180,205,275,215,270,270,19/6/2015 (8:00:00 PM),0,21,79,0,100,_,759,_,146,_,189,_,0,_,11684,8,8.3,16.3,46,80,27,5,-,-,1150,4000,2700,1000,-,-,9120
Pindigheb,132 KV,T-2 (10/13),670,New City,',240,220,260,370,370,22/6/2015 (1:00:00 PM),0,0,17,2,19,415,1039,32,156,23,280,45,192,_,6535,10,12.2,22.2,28,16,18,2,0,0,700,800,1800,400,0,0,3700
