"Dataset","Series Key","Series","Observation Date","Observation Value","Unit","Observation Status","Observation Status Comment"
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Sep-2022","-23369.70018","Thousand USD","Provisional value",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Aug-2022","105032.0441","Thousand USD","Provisional value",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Jul-2022","-8082.627294","Thousand USD","Provisional value",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Jun-2022","102944.8928","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-May-2022","-20185.79389","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Apr-2022","345815.9188","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Mar-2022","79750.76719","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","28-Feb-2022","349955.2694","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Jan-2022","54459.58518","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Dec-2021","82896.41608","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Nov-2021","136784.5757","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Oct-2021","44314.14327","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Sep-2021","178636.6043","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Aug-2021","114957.8914","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Jul-2021","67600.19092","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Jun-2021","48721.66113","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-May-2021","-6969.923752","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Apr-2021","-3482.783975","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Mar-2021","111596.6292","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","28-Feb-2021","136468.4096","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Jan-2021","15496.536","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Dec-2020","52932.28619","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Nov-2020","269076.7638","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Oct-2020","31577.34","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Sep-2020","65835.285","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Aug-2020","-24545.66621","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Jul-2020","142872.2768","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Jun-2020","-176784.2349","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-May-2020","-84471.13856","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Apr-2020","-88517.39272","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Mar-2020","-109806.9097","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","29-Feb-2020","104771.7709","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Jan-2020","-11876.62856","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Dec-2019","54718.01615","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Nov-2019","239437.4103","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Oct-2019","72993.91694","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Sep-2019","845.2787525","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Aug-2019","131945.54","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Jul-2019","78685.62577","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Jun-2019","-68912.24169","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-May-2019","79087.82161","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Apr-2019","2616.473888","Thousand USD","Normal",""
