"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Jun-2025","TS_GP_RS_QGDP1516_Q.QGDP00070000","A. Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))","10396983","Million PKR","Normal","","100","Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Jun-2025","TS_GP_RS_QGDP1516_Q.QGDP00080000","B. Growth Rate of Gross Domestic Product (Total of Gross Value Addition at Constant Factor Cost(2015-16))","5.66","Percent","Normal","","200","Growth Rate of Real Gross Domestic Product"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Jun-2025","TS_GP_RS_QGDP1516_Q.QGDP00010000","......I(a). Agricultural Sector","2398127","Million PKR","Normal","","300","Agricultural Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Jun-2025","TS_GP_RS_QGDP1516_Q.QGDP00020000","......I(b). Growth Rate of Agriculture Sector",".18","Percent","Normal","","400","Growth Rate of Agriculture Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Jun-2025","TS_GP_RS_QGDP1516_Q.QGDP00030000","......II(a). Industrial Sector","2040262","Million PKR","Normal","","500","Industrial Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Jun-2025","TS_GP_RS_QGDP1516_Q.QGDP00040000","......II(b). Growth Rate of Industrial Sector","19.95","Percent","Normal","","600","Growth Rate of Industry Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Jun-2025","TS_GP_RS_QGDP1516_Q.QGDP00050000","......III(a). Services Sector","5958594","Million PKR","Normal","","700","Services Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Jun-2025","TS_GP_RS_QGDP1516_Q.QGDP00060000","......III(b). Growth Rate of Services Sector","3.72","Percent","Normal","","800","Growth Rate of Services Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","31-Mar-2025","TS_GP_RS_QGDP1516_Q.QGDP00070000","A. Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))","10301077","Million PKR","Normal","","100","Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))"
"Quarterly GDP at Constant Basic Prices of 2015-16","31-Mar-2025","TS_GP_RS_QGDP1516_Q.QGDP00080000","B. Growth Rate of Gross Domestic Product (Total of Gross Value Addition at Constant Factor Cost(2015-16))","2.79","Percent","Normal","","200","Growth Rate of Real Gross Domestic Product"
