"Dataset","Series Key","Series","Observation Date","Observation Value","Unit","Observation Status","Observation Status Comment"
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Dec-2021","3629","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Nov-2021","3319","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Oct-2021","2939","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Sep-2021","3208","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Aug-2021","2896","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jul-2021","2729","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Jun-2021","3070","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-May-2021","2600","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Apr-2021","2797","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Mar-2021","3172","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","28-Feb-2021","2669","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jan-2021","2584","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Dec-2020","2891","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Nov-2020","2754","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Oct-2020","2409","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Sep-2020","2430","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Aug-2020","1865","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jul-2020","2343","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Jun-2020","1950","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-May-2020","1620","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Apr-2020","1777","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Mar-2020","2249","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","29-Feb-2020","2465","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jan-2020","2580","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Dec-2019","2682","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Nov-2019","2577","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Oct-2019","2737","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Sep-2019","2308","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Aug-2019","2326","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jul-2019","2702","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Jun-2019","2245","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-May-2019","2791","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Apr-2019","2570","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Mar-2019","2579","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","28-Feb-2019","2360","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jan-2019","2793","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Dec-2018","2576","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Nov-2018","2376","Million USD","Normal",""
